P-xcor,P-ycor,patch ID,Block ID,Species,Number in yard
90,21,90_21,1004,species374,9
90,21,90_21,1004,species159,5
90,21,90_21,1004,species331,6
90,21,90_21,1004,species129,9
70,89,70_89,4403,species331,5
70,89,70_89,4403,species298,6
70,89,70_89,4403,species166,9
70,89,70_89,4403,species303,3
70,89,70_89,4403,species172,10
70,89,70_89,4403,species227,8
70,89,70_89,4403,species371,2
70,89,70_89,4403,species397,10
70,89,70_89,4403,species295,5
70,89,70_89,4403,species49,8
70,89,70_89,4403,species59,8
70,89,70_89,4403,species159,3
98,29,98_29,1404,species228,2
98,29,98_29,1404,species371,8
98,29,98_29,1404,species166,2
98,29,98_29,1404,species227,3
98,29,98_29,1404,species295,1
98,29,98_29,1404,species59,1
98,29,98_29,1404,species291,11
98,29,98_29,1404,species308,1
98,29,98_29,1404,species331,5
98,29,98_29,1404,species393,5
7,51,7_51,2500,species126,5
7,51,7_51,2500,species177,2
7,51,7_51,2500,species324,4
7,51,7_51,2500,species302,5
7,51,7_51,2500,species308,1
7,51,7_51,2500,species288,11
7,51,7_51,2500,species52,2
7,51,7_51,2500,species129,11
7,51,7_51,2500,species59,5
7,51,7_51,2500,species295,5
7,51,7_51,2500,species331,2
7,51,7_51,2500,species371,9
7,51,7_51,2500,species166,6
34,9,34_9,401,species275,7
34,9,34_9,401,species105,2
34,9,34_9,401,species349,7
34,9,34_9,401,species92,5
34,9,34_9,401,species262,3
34,9,34_9,401,species367,3
34,9,34_9,401,species150,11
34,9,34_9,401,species11,10
34,9,34_9,401,species230,8
34,9,34_9,401,species260,9
34,9,34_9,401,species153,5
34,9,34_9,401,species171,9
34,9,34_9,401,species302,1
34,9,34_9,401,species161,4
34,9,34_9,401,species368,11
34,9,34_9,401,species49,1
34,9,34_9,401,species249,1
34,9,34_9,401,species303,4
34,9,34_9,401,species164,7
34,9,34_9,401,species172,6
34,9,34_9,401,species288,11
34,9,34_9,401,species52,11
34,9,34_9,401,species227,7
34,9,34_9,401,species291,5
34,9,34_9,401,species237,4
34,9,34_9,401,species374,11
34,9,34_9,401,species129,2
