P-xcor,P-ycor,patch ID,Block ID,Species,Number in yard
6,74,6_74,3700,species29,8
6,74,6_74,3700,species260,1
6,74,6_74,3700,species249,10
6,74,6_74,3700,species227,6
6,74,6_74,3700,species374,2
6,74,6_74,3700,species159,5
6,74,6_74,3700,species371,11
6,74,6_74,3700,species166,7
13,81,13_81,4000,species392,1
13,81,13_81,4000,species237,2
13,81,13_81,4000,species159,5
13,81,13_81,4000,species331,7
13,81,13_81,4000,species371,11
13,81,13_81,4000,species166,7
13,81,13_81,4000,species49,2
13,81,13_81,4000,species374,9
13,81,13_81,4000,species227,10
13,81,13_81,4000,species303,2
57,99,57_99,4902,species260,6
57,99,57_99,4902,species374,6
57,99,57_99,4902,species166,4
57,99,57_99,4902,species52,11
57,99,57_99,4902,species308,9
57,99,57_99,4902,species324,6
57,99,57_99,4902,species391,8
57,99,57_99,4902,species159,11
22,46,22_46,2301,species3,8
22,46,22_46,2301,species49,4
22,46,22_46,2301,species172,2
22,46,22_46,2301,species291,7
22,46,22_46,2301,species295,9
22,46,22_46,2301,species166,1
22,46,22_46,2301,species303,3
22,46,22_46,2301,species159,10
22,46,22_46,2301,species266,2
52,3,52_3,102,species78,8
52,3,52_3,102,species343,1
52,3,52_3,102,species308,2
52,3,52_3,102,species227,7
52,3,52_3,102,species291,1
52,3,52_3,102,species331,9
52,3,52_3,102,species166,5
52,3,52_3,102,species391,1
52,3,52_3,102,species59,5
52,3,52_3,102,species371,7
52,3,52_3,102,species52,9
93,62,93_62,3104,species164,7
93,62,93_62,3104,species129,7
93,62,93_62,3104,species371,8
93,62,93_62,3104,species166,11
93,62,93_62,3104,species331,7
93,62,93_62,3104,species159,6
98,73,98_73,3604,species231,6
98,73,98_73,3604,species171,10
98,73,98_73,3604,species175,11
98,73,98_73,3604,species59,2
98,73,98_73,3604,species166,9
98,73,98_73,3604,species52,10
98,73,98_73,3604,species390,8
98,73,98_73,3604,species150,1
98,73,98_73,3604,species172,5
61,80,61_80,4003,species359,10
61,80,61_80,4003,species328,10
61,80,61_80,4003,species266,11
61,80,61_80,4003,species308,2
61,80,61_80,4003,species291,8
61,80,61_80,4003,species295,3
61,80,61_80,4003,species331,6
61,80,61_80,4003,species371,6
