pxcor,pycor,patch ID,block ID,patch richness
44,92,44_92,4602,6
98,62,98_62,3104,5
12,6,12_6,300,6
10,35,10_35,1700,5
33,58,33_58,2901,6
8,78,8_78,3900,13
54,62,54_62,3102,6
15,50,15_50,2500,10
51,81,51_81,4002,6
50,58,50_58,2902,6
28,8,28_8,401,10
40,80,40_80,4002,12
26,73,26_73,3601,2
5,62,5_62,3100,8
79,33,79_33,1603,3
94,88,94_88,4404,11
27,5,27_5,201,2
47,45,47_45,2202,11
33,23,33_23,1101,8
62,2,62_2,103,6
23,2,23_2,101,8
22,88,22_88,4401,5
86,46,86_46,2304,6
32,11,32_11,501,7
92,43,92_43,2104,4
86,18,86_18,904,5
11,66,11_66,3300,6
70,95,70_95,4703,5
1,38,1_38,1900,5
19,21,19_21,1000,4
59,19,59_19,902,5
59,15,59_15,702,3
63,59,63_59,2903,6
66,18,66_18,903,6
33,69,33_69,3401,18
33,6,33_6,301,10
27,0,27_0,1,11
71,33,71_33,1603,6
70,98,70_98,4903,6
20,45,20_45,2201,5
58,58,58_58,2902,4
83,23,83_23,1104,6
76,73,76_73,3603,1
65,55,65_55,2703,8
60,81,60_81,4003,5
77,25,77_25,1203,11
66,35,66_35,1703,18
3,0,3_0,0,0
9,41,9_41,2000,2
10,41,10_41,2000,7
60,24,60_24,1203,7
1,0,1_0,0,8
6,7,6_7,300,0
51,11,51_11,502,5
52,26,52_26,1302,4
19,60,19_60,3000,9
64,36,64_36,1803,4
95,16,95_16,804,4
2,39,2_39,1900,10
30,67,30_67,3301,17
69,67,69_67,3303,13
66,78,66_78,3903,14
41,73,41_73,3602,15
15,19,15_19,900,5
85,13,85_13,604,6
59,68,59_68,3402,3
80,24,80_24,1204,6
11,84,11_84,4200,13
16,24,16_24,1200,4
62,0,62_0,3,1
44,28,44_28,1402,9
24,49,24_49,2401,20
15,53,15_53,2600,9
15,54,15_54,2700,4
32,78,32_78,3901,3
5,46,5_46,2300,10
18,47,18_47,2300,11
30,94,30_94,4701,10
9,53,9_53,2600,9
0,95,0_95,4700,6
74,22,74_22,1103,7
53,14,53_14,702,10
26,12,26_12,601,4
55,55,55_55,2702,7
92,40,92_40,2004,3
1,58,1_58,2900,5
30,71,30_71,3501,10
16,5,16_5,200,16
60,83,60_83,4103,6
51,8,51_8,402,6
44,1,44_1,2,17
15,10,15_10,500,8
78,49,78_49,2403,2
99,99,99_99,4904,8
4,71,4_71,3500,14
76,52,76_52,2603,3
78,83,78_83,4103,13
85,12,85_12,604,7
74,92,74_92,4603,9
43,22,43_22,1102,7
47,70,47_70,3502,7
24,50,24_50,2501,9
30,79,30_79,3901,4
95,25,95_25,1204,4
52,52,52_52,2602,3
63,48,63_48,2403,13
92,21,92_21,1004,5
94,55,94_55,2704,5
72,73,72_73,3603,17
61,22,61_22,1103,5
68,62,68_62,3103,13
63,47,63_47,2303,27
56,2,56_2,102,10
13,71,13_71,3500,1
54,99,54_99,4902,2
82,86,82_86,4304,3
36,26,36_26,1301,5
66,66,66_66,3303,4
97,4,97_4,204,8
69,47,69_47,2303,8
2,73,2_73,3600,5
79,88,79_88,4403,6
63,67,63_67,3303,7
68,66,68_66,3303,11
17,33,17_33,1600,3
29,78,29_78,3901,9
5,97,5_97,4800,9
