"","X.run.number.","num.nurseries","happiness.type","patch.richness.constraints","patch.richness.visualization","yard.difference","mimicry","neighbor.distance","global_moran","moran_p","global_mantel","mantel_p"
"54",53,4,"equal","random",FALSE,0,TRUE,9,-0.00026618738358342,0.39353898731969,-0.00109242461751224,0.578
"53",54,4,"equal","random",FALSE,0,TRUE,9,-9.72878369969671e-05,0.988848810882491,-0.00552835684220518,0.916
"56",55,4,"equal","random",FALSE,0,TRUE,9,-3.20934435938993e-05,0.727303297905532,0.000776542066897212,0.419
"60",56,4,"equal","random",FALSE,0,TRUE,9,-8.47293035511154e-05,0.937465420568812,-0.00264166498320325,0.727
"62",57,4,"equal","random",FALSE,0,TRUE,9,-0.000135677999408928,0.854691667542478,0.00936503644661329,0.009
"59",58,4,"equal","random",FALSE,0,TRUE,9,5.25141223472167e-05,0.433559460719206,-0.00676002019466343,0.946
"69",59,4,"equal","random",FALSE,0,TRUE,9,-0.000367755472056233,0.169214149814536,-0.000292094579838417,0.527
"70",60,4,"equal","random",FALSE,0,TRUE,9,-0.000528091208614889,0.0279513728005082,0.00788925904245007,0.026
"55",61,4,"equal","random",FALSE,2,TRUE,3,0.00668476608729061,0,0.00675936217534374,0.027
"57",62,4,"equal","random",FALSE,2,TRUE,3,0.00623078968956715,0,0.00379672487973696,0.108
"58",63,4,"equal","random",FALSE,2,TRUE,3,0.00585197897318417,0,0.00167522240026739,0.292
"61",64,4,"equal","random",FALSE,2,TRUE,3,0.00494649254407284,0,0.000621929998707244,0.464
"63",65,4,"equal","random",FALSE,2,TRUE,3,0.00715750297826032,0,0.0046647528758937,0.058
"64",66,4,"equal","random",FALSE,2,TRUE,3,0.00630174363974353,0,0.00412329236527023,0.102
"65",67,4,"equal","random",FALSE,2,TRUE,3,0.00536955291737789,0,0.0100408787272356,0.002
"66",68,4,"equal","random",FALSE,2,TRUE,3,0.00525990128095811,0,0.00735364834513939,0.008
"67",69,4,"equal","random",FALSE,2,TRUE,3,0.00424807193352423,0,0.00151797816733226,0.309
"68",70,4,"equal","random",FALSE,2,TRUE,3,0.00553899133232097,0,0.00209212062733702,0.251
"71",71,4,"equal","random",FALSE,2,TRUE,9,0.00157144993370957,0,-0.00536481309328263,0.955
"76",72,4,"equal","random",FALSE,2,TRUE,9,0.00102446801666708,7.88588394584622e-09,0.010418415801724,0.001
"72",73,4,"equal","random",FALSE,2,TRUE,9,0.00256828795691852,0,-0.00352316411858927,0.867
"74",74,4,"equal","random",FALSE,2,TRUE,9,0.00200564578330741,0,0.0106218699617359,0.002
"75",75,4,"equal","random",FALSE,2,TRUE,9,0.00323899913210245,0,-0.00162799486631583,0.679
"77",76,4,"equal","random",FALSE,2,TRUE,9,0.00157064602142154,0,0.00981636122656236,0.002
"78",77,4,"equal","random",FALSE,2,TRUE,9,0.00274674531708084,0,0.0211459317711438,0.001
"73",78,4,"equal","random",FALSE,2,TRUE,9,0.00185277306148292,0,0.00515620693039004,0.063
"79",79,4,"equal","random",FALSE,2,TRUE,9,0.00168472394675267,0,0.00819483335270428,0.007
"80",80,4,"equal","random",FALSE,2,TRUE,9,0.00198579899078925,0,0.00367718402842538,0.143
"81",81,4,"equal","by-block",FALSE,0,TRUE,3,0.379183009234721,0,0.119321802491008,0.001
"83",82,4,"equal","by-block",FALSE,0,TRUE,3,0.380372639651221,0,0.0629211686335671,0.001
"82",83,4,"equal","by-block",FALSE,0,TRUE,3,0.387235650295529,0,0.118497834708997,0.001
"85",84,4,"equal","by-block",FALSE,0,TRUE,3,0.37899636417407,0,0.113941956394933,0.001
"88",85,4,"equal","by-block",FALSE,0,TRUE,3,0.381546982518567,0,0.0984070746647923,0.001
"84",86,4,"equal","by-block",FALSE,0,TRUE,3,0.371326671333393,0,0.104253193679741,0.001
"87",87,4,"equal","by-block",FALSE,0,TRUE,3,0.380492053830752,0,0.0857078664532958,0.001
"86",88,4,"equal","by-block",FALSE,0,TRUE,3,0.380762159686367,0,0.0912150628304484,0.001
"89",89,4,"equal","by-block",FALSE,0,TRUE,3,0.379483524808279,0,0.0938619098831157,0.001
"90",90,4,"equal","by-block",FALSE,0,TRUE,3,0.382484055264482,0,0.107708976652439,0.001
"97",91,4,"equal","by-block",FALSE,0,TRUE,9,0.386310133623308,0,0.0818753859307187,0.001
"94",92,4,"equal","by-block",FALSE,0,TRUE,9,0.3877471268475,0,0.0842109748698521,0.001
"91",93,4,"equal","by-block",FALSE,0,TRUE,9,0.388272769301402,0,0.0775867788524313,0.001
"96",94,4,"equal","by-block",FALSE,0,TRUE,9,0.383571374815848,0,0.0862981457429461,0.001
"93",95,4,"equal","by-block",FALSE,0,TRUE,9,0.383746078776983,0,0.0964502160508365,0.001
"100",96,4,"equal","by-block",FALSE,0,TRUE,9,0.399993375160545,0,0.0398481005189624,0.001
"98",97,4,"equal","by-block",FALSE,0,TRUE,9,0.389744031498876,0,0.0816496447165612,0.001
"101",98,4,"equal","by-block",FALSE,0,TRUE,9,0.383646889913435,0,0.0764353585871787,0.001
"105",99,4,"equal","by-block",FALSE,0,TRUE,9,0.382448639247438,0,0.0852610605487793,0.001
"106",100,4,"equal","by-block",FALSE,0,TRUE,9,0.384875155452577,0,0.0928843806388062,0.001
"92",101,4,"equal","by-block",FALSE,2,TRUE,3,0.0617372189807231,0,-0.0134747332521824,1
"95",102,4,"equal","by-block",FALSE,2,TRUE,3,0.0532316966109437,0,-0.00990546029185218,0.999
"99",103,4,"equal","by-block",FALSE,2,TRUE,3,0.0609503507095274,0,-0.00450339178940791,0.918
"102",104,4,"equal","by-block",FALSE,2,TRUE,3,0.0491579831377561,0,-0.012855269409045,1
"103",105,4,"equal","by-block",FALSE,2,TRUE,3,0.0513221976546449,0,-0.00804787901095782,0.995
"104",106,4,"equal","by-block",FALSE,2,TRUE,3,0.0495665813124154,0,-0.00661256304841328,0.981
"107",107,4,"equal","by-block",FALSE,2,TRUE,3,0.0489967478694764,0,-0.00572952263189185,0.949
"108",108,4,"equal","by-block",FALSE,2,TRUE,3,0.057484024617495,0,-0.0140282126784653,1
"110",109,4,"equal","by-block",FALSE,2,TRUE,3,0.0553536398295991,0,-0.0132760573812736,1
"109",110,4,"equal","by-block",FALSE,2,TRUE,3,0.0558931526668049,0,-0.0118213571500979,1
"112",111,4,"equal","by-block",FALSE,2,TRUE,9,0.0437760714349757,0,0.0435443513062182,0.001
